trial,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,sub_broker,optimal_pub_id,optimal_dist,received,received_pub_id,received_dist,stretch,recall
3,20,50,1,46,6.9244,118.159,2,14,23.4544,1,14,23.4544,1,1
3,20,50,1,47,-9.45243,9.18321,1,7,36.2905,1,7,36.2905,1,1
3,20,50,1,48,-15.6652,93.8305,2,16,3.63452,1,16,3.63452,1,1
3,20,50,1,49,-89.2409,-153.802,1,15,14.9884,1,15,14.9884,1,1
4,20,50,1,0,20.6115,-60.4933,1,0,21.8867,1,0,21.8867,1,1
4,20,50,1,1,71.0468,-67.5607,1,5,21.2627,1,5,21.2627,1,1
4,20,50,1,2,-15.5648,-72.6187,1,9,40.2876,1,9,40.2876,1,1
4,20,50,1,3,84.1421,14.2892,2,5,22.9476,1,16,25.0253,1.09054,0
4,20,50,1,4,42.3459,-70.5687,1,0,17.6715,1,0,17.6715,1,1
4,20,50,1,5,81.3069,-130.799,1,2,25.0229,1,2,25.0229,1,1
4,20,50,1,6,-81.5911,179.527,2,15,2.3017,1,15,2.3017,1,1
4,20,50,1,7,-76.2207,42.3627,2,17,12.8016,1,17,12.8016,1,1
4,20,50,1,8,-1.23235,15.0996,2,12,22.0293,1,7,43.3227,1.96659,0
4,20,50,1,9,18.2886,89.3741,2,4,26.8248,1,4,26.8248,1,1
4,20,50,1,10,-87.9206,56.9891,2,11,11.2823,1,11,11.2823,1,1
4,20,50,1,11,40.0045,125.691,2,18,9.4167,1,18,9.4167,1,1
4,20,50,1,12,-39.5412,131.691,2,11,44.0019,1,11,44.0019,1,1
4,20,50,1,13,0.354424,-179.273,1,6,44.5502,1,6,44.5502,1,1
4,20,50,1,14,32.5494,174.236,2,13,38.7789,1,13,38.7789,1,1
4,20,50,1,15,-10.0081,-73.6782,1,9,44.051,1,9,44.051,1,1
4,20,50,1,16,-33.1287,-57.9227,1,9,22.736,1,9,22.736,1,1
4,20,50,1,17,19.3805,82.6128,2,4,29.908,1,4,29.908,1,1
4,20,50,1,18,24.7293,27.0453,2,12,29.9831,1,16,38.1101,1.27105,0
4,20,50,1,19,-41.549,-45.8495,1,9,16.7378,1,9,16.7378,1,1
4,20,50,1,20,68.2383,-100.484,1,2,23.2028,1,2,23.2028,1,1
4,20,50,1,21,1.67564,153.294,2,13,22.3484,1,13,22.3484,1,1
4,20,50,1,22,-50.4786,30.9098,2,17,18.8838,1,17,18.8838,1,1
4,20,50,1,23,7.82853,76.578,2,10,27.7485,1,10,27.7485,1,1
4,20,50,1,24,-66.9953,-127.766,1,8,40.8162,1,8,40.8162,1,1
4,20,50,1,25,-7.02393,-129.832,1,1,21.7007,1,1,21.7007,1,1
4,20,50,1,26,54.6116,-114.039,1,2,17.0942,1,2,17.0942,1,1
4,20,50,1,27,87.9298,-149.859,1,2,31.236,1,2,31.236,1,1
