trial,migration_idx,sub_id,seed,trial_seed,encrypted,old_closest_pub,new_optimal_pub,received_pub,converged,convergence_ms,migration_class
24,5,19,42,66,1,17,3,-1,0,-1,farther
24,5,26,42,66,1,17,3,-1,0,-1,farther
24,5,27,42,66,1,17,3,-1,0,-1,farther
24,6,1,42,66,1,3,14,-1,0,-1,farther
24,6,4,42,66,1,12,3,3,1,2.07183,closer
24,6,14,42,66,1,3,3,-1,0,-1,farther
24,6,32,42,66,1,3,19,-1,0,-1,farther
24,6,43,42,66,1,3,3,-1,0,-1,farther
24,7,2,42,66,1,7,6,-1,0,-1,farther
24,7,18,42,66,1,7,6,-1,0,-1,farther
24,7,33,42,66,1,7,11,-1,0,-1,farther
24,7,36,42,66,1,7,6,-1,0,-1,farther
24,7,39,42,66,1,7,6,-1,0,-1,farther
24,7,40,42,66,1,7,11,-1,0,-1,farther
24,8,0,42,66,1,4,10,-1,0,-1,farther
24,8,10,42,66,1,4,10,-1,0,-1,farther
24,8,48,42,66,1,13,4,4,1,0.172605,closer
24,9,1,42,66,1,3,7,7,1,0.170092,closer
24,9,2,42,66,1,7,6,-1,0,-1,farther
24,9,18,42,66,1,7,6,-1,0,-1,farther
24,9,33,42,66,1,7,11,-1,0,-1,farther
24,9,36,42,66,1,7,6,-1,0,-1,farther
24,9,39,42,66,1,7,6,-1,0,-1,farther
24,9,40,42,66,1,7,11,-1,0,-1,farther
24,9,43,42,66,1,3,7,7,1,0.19815,closer
24,10,1,42,66,1,7,14,-1,0,-1,farther
24,10,2,42,66,1,7,6,-1,0,-1,farther
24,10,18,42,66,1,7,6,-1,0,-1,farther
24,10,33,42,66,1,7,11,-1,0,-1,farther
24,10,36,42,66,1,7,7,-1,0,-1,farther
24,10,39,42,66,1,7,6,-1,0,-1,farther
24,10,40,42,66,1,7,11,-1,0,-1,farther
24,10,43,42,66,1,7,3,-1,0,-1,farther
24,11,6,42,66,1,5,18,18,1,0.178683,closer
24,11,23,42,66,1,18,13,-1,0,-1,farther
24,11,24,42,66,1,0,18,18,1,0.206251,closer
24,11,30,42,66,1,0,18,18,1,0.231755,closer
24,12,0,42,66,1,4,10,10,1,0.356086,closer
24,12,10,42,66,1,4,10,10,1,0.650847,closer
24,12,29,42,66,1,10,10,10,1,0.652179,closer
24,14,0,42,66,1,10,10,-1,0,-1,farther
24,14,10,42,66,1,10,10,-1,0,-1,farther
24,14,29,42,66,1,10,10,-1,0,-1,farther
24,15,12,42,66,1,1,4,4,1,0.177532,closer
24,15,33,42,66,1,7,4,4,1,0.206161,closer
24,15,40,42,66,1,7,4,4,1,0.231636,closer
24,15,46,42,66,1,9,4,4,1,0.255679,closer
24,15,48,42,66,1,4,13,-1,0,-1,farther
24,16,34,42,66,1,13,12,12,1,3.54651,closer
24,17,11,42,66,1,17,2,2,1,0.526357,closer
24,17,15,42,66,1,0,2,2,1,0.527428,closer
24,17,26,42,66,1,17,2,2,1,0.52833,closer
24,17,31,42,66,1,0,2,2,1,0.529441,closer
