seed,trial,trial_seed,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,sub_broker,optimal_pub_id,optimal_dist,received,received_pub_id,received_dist,stretch,recall
42,2,44,20,50,2,11,15.3274,-118.015,1,7,1.56177,1,7,1.56177,1,1
42,2,44,20,50,2,12,-50.9023,-44.6115,1,10,20.5517,1,12,39.0791,1.9015,0
42,2,44,20,50,2,13,-72.4428,-111.422,1,2,4.46654,1,2,4.46654,1,1
42,2,44,20,50,2,14,-85.6051,171,2,12,12.943,1,6,25.3579,1.9592,0
42,2,44,20,50,2,15,12.8273,131.501,2,17,43.5363,1,3,57.0081,1.30944,0
42,2,44,20,50,2,16,-47.734,12.6542,1,13,18.4791,1,5,30.1334,1.63068,0
42,2,44,20,50,2,17,58.3475,-96.3636,1,19,25.9776,1,1,35.2326,1.35626,0
42,2,44,20,50,2,18,-75.251,165.437,2,6,25.5131,1,6,25.5131,1,1
42,2,44,20,50,2,19,31.1698,-107.975,1,7,18.0232,1,7,18.0232,1,1
42,2,44,20,50,2,20,7.46281,-115.411,1,7,7.52895,1,7,7.52895,1,1
42,2,44,20,50,2,21,-11.6391,-19.9341,1,8,44.8138,1,5,48.7685,1.08825,0
42,2,44,20,50,2,22,7.94118,-28.4832,1,8,57.1132,1,5,64.9143,1.13659,0
42,2,44,20,50,2,23,-22.8818,-28.443,1,13,48.3649,1,5,54.1316,1.11923,0
42,2,44,20,50,2,24,7.65208,111.845,2,16,56.284,1,0,62.6759,1.11356,0
42,2,44,20,50,2,25,-40.1155,130.36,2,6,38.716,1,6,38.716,1,1
42,2,44,20,50,2,26,-46.4335,130.424,2,6,32.8037,1,6,32.8037,1,1
42,2,44,20,50,2,27,-83.8275,-14.6716,1,12,2.42805,1,12,2.42805,1,1
42,2,44,20,50,2,28,-47.0938,-132.541,1,2,31.2523,1,2,31.2523,1,1
42,2,44,20,50,2,29,26.9532,-85.3979,1,7,31.4005,1,7,31.4005,1,1
42,2,44,20,50,2,30,-70.7701,-100.439,1,2,6.99258,1,2,6.99258,1,1
42,2,44,20,50,2,31,-66.9486,-57.0082,1,10,3.38696,1,2,19.8935,5.87354,0
42,2,44,20,50,2,32,46.1076,162.798,2,17,8.88993,1,3,18.2262,2.05021,0
42,2,44,20,50,2,33,13.3141,121.713,2,17,47.1364,1,3,60.2118,1.2774,0
